image_path,label,file_name,file_size_kb,is_valid,width,height,channels
data\raw\Hazardous\e-waste\e-waste-policy-recast-to-focus-on-no-of-products-recycled - Copy.jpg,hazardous,e-waste-policy-recast-to-focus-on-no-of-products-recycled - Copy.jpg,145.46,True,1600,660,3
data\raw\Non-Recyclable\sanitary_napkin\1200px-Monthly_Cup_Size_1262.jpg,non-recyclable,1200px-Monthly_Cup_Size_1262.jpg,208.53,True,1200,800,3
data\raw\Non-Recyclable\stroform_product\2018_blog_EcoFriendlyRestaurants_600x400.jpg,non-recyclable,2018_blog_EcoFriendlyRestaurants_600x400.jpg,166.37,True,600,400,3
data\raw\Non-Recyclable\ceramic_product\EDII_NMUS_V_2007_289_1-001.jpg,non-recyclable,EDII_NMUS_V_2007_289_1-001.jpg,93.95,True,1200,855,3
data\raw\Non-Recyclable\sanitary_napkin\infectious-waste-disposal.jpg,non-recyclable,infectious-waste-disposal.jpg,29.56,True,685,295,3
data\raw\Hazardous\e-waste\7ade6617-865a-42bf-b8f8-12859169a351.a7819c077ec87ce47606d6942a125eea - Copy.jpeg,hazardous,7ade6617-865a-42bf-b8f8-12859169a351.a7819c077ec87ce47606d6942a125eea - Copy.jpeg,81.91,True,1001,1001,3
data\raw\Hazardous\e-waste\74409247-old-cellphones-and-battery-electronic-waste-concept.jpg,hazardous,74409247-old-cellphones-and-battery-electronic-waste-concept.jpg,74.27,True,1300,866,3
data\raw\Recyclable\paper_products\paper_and_paperboard_ff_materials_0.jpg,recyclable,paper_and_paperboard_ff_materials_0.jpg,37.12,True,640,427,3
data\raw\Hazardous\e-waste\JunkDevices-607673850 - Copy.jpg,hazardous,JunkDevices-607673850 - Copy.jpg,1383.14,True,2400,1800,3
data\raw\Hazardous\e-waste\stock-photo-spent-fluorescent-lamps-and-energy-saving-bulbs-awaiting-disposal-243014344 - Copy.jpg,hazardous,stock-photo-spent-fluorescent-lamps-and-energy-saving-bulbs-awaiting-disposal-243014344 - Copy.jpg,416.76,True,1500,1101,3
data\raw\Hazardous\pesticides\pesticides-bottles-illustrations-set_82574-2033.jpg,hazardous,pesticides-bottles-illustrations-set_82574-2033.jpg,67.92,True,626,626,3
data\raw\Organic\egg_shells\8d25mv_ncpmpairindiafoodeggshells_625x300_08_October_19.jpg,organic,8d25mv_ncpmpairindiafoodeggshells_625x300_08_October_19.jpg,43.79,True,650,400,3
data\raw\Hazardous\e-waste\HHW_Bulbs-updated.jpg,hazardous,HHW_Bulbs-updated.jpg,658.11,True,2144,1424,3
data\raw\Hazardous\e-waste\cfllightbulbs.jpg,hazardous,cfllightbulbs.jpg,37.66,True,324,299,3
data\raw\Organic\egg_shells\eggshells_759.jpg,organic,eggshells_759.jpg,32.28,True,759,422,3
data\raw\Non-Recyclable\platics_bags_wrappers\CBS-Impact_f25a3ca6-4561-4e42-9a9a-4859b381639a.jpg,non-recyclable,CBS-Impact_f25a3ca6-4561-4e42-9a9a-4859b381639a.jpg,163.95,True,1600,1600,3
data\raw\Hazardous\batteries\Cutaway-view-dioxide-power-cell.jpg,hazardous,Cutaway-view-dioxide-power-cell.jpg,150.73,True,1600,1086,3
data\raw\Organic\yard_trimmings\rsz_shutterstock_1129173176.jpg,organic,rsz_shutterstock_1129173176.jpg,92.51,True,1200,800,3
data\raw\Hazardous\paints\10-Non-Hazardous-Waste-Disposal-Methods.jpg,hazardous,10-Non-Hazardous-Waste-Disposal-Methods.jpg,98.22,True,901,361,3
data\raw\Recyclable\glass_containers\fdfgfgfgfg-removebg-preview_2.png,recyclable,fdfgfgfgfg-removebg-preview_2.png,338.72,True,1080,1080,3
data\raw\Hazardous\e-waste\156050-wrdgfxdtvg-1615456453.jpg,hazardous,156050-wrdgfxdtvg-1615456453.jpg,157.58,True,1200,630,3
data\raw\Hazardous\e-waste\74409247-old-cellphones-and-battery-electronic-waste-concept - Copy.jpg,hazardous,74409247-old-cellphones-and-battery-electronic-waste-concept - Copy.jpg,74.27,True,1300,866,3
data\raw\Hazardous\e-waste\fluorescentlights.png,hazardous,fluorescentlights.png,274.46,True,714,294,3
data\raw\Recyclable\glass_containers\my-borosil-storage-jars-1-2l-x-2-endura-airtight-glass-jar-set-of-2-1-2-l-30021285871754.jpg,recyclable,my-borosil-storage-jars-1-2l-x-2-endura-airtight-glass-jar-set-of-2-1-2-l-30021285871754.jpg,229.03,True,1000,1000,3
data\raw\Organic\coffee_tea_bags\IMG_7747.JPG.jpg,organic,IMG_7747.JPG.jpg,738.16,True,2500,1875,3
data\raw\Hazardous\e-waste\detail_th_lightbulbs_cfl_content.jpg - Copy.jpg,hazardous,detail_th_lightbulbs_cfl_content.jpg - Copy.jpg,60.5,True,1125,393,3
data\raw\Recyclable\cans_all_type\empty-tin-cans-8572637.jpg,recyclable,empty-tin-cans-8572637.jpg,75.5,True,1600,1157,3
data\raw\Hazardous\paints\people-mixing-paint.jpg,hazardous,people-mixing-paint.jpg,88.35,True,1200,630,3
data\raw\Organic\food_scraps\Eliminating-Food-Wastage-to-Eradicate-Hunger.png,organic,Eliminating-Food-Wastage-to-Eradicate-Hunger.png,847.15,True,1280,350,3
data\raw\Hazardous\paints\41LxYlhuRLL._AC_UF10001000_QL80_.jpg,hazardous,41LxYlhuRLL._AC_UF10001000_QL80_.jpg,52.89,True,683,1000,3
data\raw\Non-Recyclable\diapers\baby-diaper.jpg,non-recyclable,baby-diaper.jpg,38.87,True,600,378,3
data\raw\Hazardous\batteries\typical-lithium-ion-battery.png,hazardous,typical-lithium-ion-battery.png,138.52,True,435,443,3
data\raw\Non-Recyclable\diapers\51zIAjQaiyL.jpg,non-recyclable,51zIAjQaiyL.jpg,53.51,True,1500,1500,3
data\raw\Recyclable\plastic_bottles\img_5e7545baa3fe4.jpg,recyclable,img_5e7545baa3fe4.jpg,72.15,True,1200,1800,3
data\raw\Hazardous\e-waste\e_waste_1572344183_725x725 - Copy.jpg,hazardous,e_waste_1572344183_725x725 - Copy.jpg,69.72,True,725,545,3
data\raw\Hazardous\paints\paint-waste-disposal-e1652382599202.png,hazardous,paint-waste-disposal-e1652382599202.png,95.28,True,300,157,3
data\raw\Non-Recyclable\stroform_product\SS-KH_ShippingGuideTypesOfProtectivePackaging_KH-HRO.jpg,non-recyclable,SS-KH_ShippingGuideTypesOfProtectivePackaging_KH-HRO.jpg,340.05,True,5194,3463,3
data\raw\Non-Recyclable\stroform_product\Untitled-1024-C397-768px-16.jpg,non-recyclable,Untitled-1024-C397-768px-16.jpg,56.21,True,1024,768,3
data\raw\Recyclable\glass_containers\Kavi-Recycled-Vodka-Jars-Set-of-Two-2_800x.jpg,recyclable,Kavi-Recycled-Vodka-Jars-Set-of-Two-2_800x.jpg,95.3,True,800,800,3
data\raw\Recyclable\paper_products\stack-of-paper-and-cardboard-for-recycling-2CRNY2N.jpg,recyclable,stack-of-paper-and-cardboard-for-recycling-2CRNY2N.jpg,76.1,True,1300,878,3
data\raw\Recyclable\glass_containers\Best-out-of-waste-ideas-to-decorate-your-home.jpg,recyclable,Best-out-of-waste-ideas-to-decorate-your-home.jpg,111.16,True,1200,700,3
data\raw\Organic\food_scraps\828950-52136-ryfqandgvd-1487872329.jpg,organic,828950-52136-ryfqandgvd-1487872329.jpg,88.12,True,1200,630,3
data\raw\Recyclable\cans_all_type\b7objects_household001.jpg,recyclable,b7objects_household001.jpg,885.3,True,2048,1536,3
data\raw\Hazardous\pesticides\Books-on-Agrochemicals-Pesticides-Insecticides-1.jpg,hazardous,Books-on-Agrochemicals-Pesticides-Insecticides-1.jpg,80.28,True,800,350,3
data\raw\Non-Recyclable\sanitary_napkin\flat-lay-spa-composition-with-personal-hygiene-items-bath-accessories-string-bag_169016-11414.jpg,non-recyclable,flat-lay-spa-composition-with-personal-hygiene-items-bath-accessories-string-bag_169016-11414.jpg,38.12,True,626,386,3
data\raw\Recyclable\cans_all_type\steel-food-cans-3-piece-tinplate-cans-for-food-three-piece.jpg,recyclable,steel-food-cans-3-piece-tinplate-cans-for-food-three-piece.jpg,91.27,True,500,409,3
data\raw\Hazardous\e-waste\how_to_upcycle_ewaste_1573547808 - Copy.jpg,hazardous,how_to_upcycle_ewaste_1573547808 - Copy.jpg,109.16,True,1200,900,3
data\raw\Hazardous\e-waste\AdobeStock_365525290.jpg,hazardous,AdobeStock_365525290.jpg,119.83,True,1200,675,3
data\raw\Recyclable\cans_all_type\500ml-blank-customized-drink-printed-aluminum-can-747.jpg,recyclable,500ml-blank-customized-drink-printed-aluminum-can-747.jpg,73.43,True,496,500,3
data\raw\Non-Recyclable\stroform_product\800px-Yummp_hk_lunchbox.jpg,non-recyclable,800px-Yummp_hk_lunchbox.jpg,92.57,True,800,533,3
data\raw\Organic\kitchen_waste\maxresdefault4.jpg,organic,maxresdefault4.jpg,197.57,True,1280,720,3
data\raw\Recyclable\glass_containers\GHJ_2005_2400x.jpg,recyclable,GHJ_2005_2400x.jpg,95.43,True,2400,3200,3
data\raw\Recyclable\glass_containers\bff67913df873d7923e53a51e5139edb.webp,recyclable,bff67913df873d7923e53a51e5139edb.webp,165.78,True,1920,1080,3
data\raw\Recyclable\paper_products\waste-paper-products-in-cardboard-box-BJ8JDP.jpg,recyclable,waste-paper-products-in-cardboard-box-BJ8JDP.jpg,78.24,True,1300,956,3
data\raw\Non-Recyclable\stroform_product\recycling-05-00030-g001.png,non-recyclable,recycling-05-00030-g001.png,209.24,True,3068,2308,3
data\raw\Hazardous\pesticides\Pesticide-use-herbicides-insecticides-fungicides-and-others-ie-sulfur-and-oils.png,hazardous,Pesticide-use-herbicides-insecticides-fungicides-and-others-ie-sulfur-and-oils.png,146.77,True,850,601,3
data\raw\Recyclable\plastic_bottles\How-To-Make-A-Soda-Bottle-cloche-Garden-Gate-Magazine.jpg,recyclable,How-To-Make-A-Soda-Bottle-cloche-Garden-Gate-Magazine.jpg,150.67,True,570,750,3
data\raw\Non-Recyclable\ceramic_product\colored-glass-pieces.jpg,non-recyclable,colored-glass-pieces.jpg,73.12,True,700,467,3
data\raw\Hazardous\paints\hhw.jpg,hazardous,hhw.jpg,438.47,True,2500,1406,3
data\raw\Recyclable\cans_all_type\eaw-thailand-may-empty-recycling-close-up-view-waste-disposal-site-151705209.jpg,recyclable,eaw-thailand-may-empty-recycling-close-up-view-waste-disposal-site-151705209.jpg,363.87,True,1600,1290,3
data\raw\Non-Recyclable\ceramic_product\1000_F_220512221_OCfWwiGHcPm7X37OJvsjbF5poVjBLNgZ.jpg,non-recyclable,1000_F_220512221_OCfWwiGHcPm7X37OJvsjbF5poVjBLNgZ.jpg,344.23,True,1000,667,3
data\raw\Recyclable\cans_all_type\crushed-aluminium-drinks-cans-in-a-recycling-basket-2A927XT.jpg,recyclable,crushed-aluminium-drinks-cans-in-a-recycling-basket-2A927XT.jpg,256.24,True,866,1390,3
data\raw\Hazardous\e-waste\Electronic-waste-management - Copy.jpg,hazardous,Electronic-waste-management - Copy.jpg,67.0,True,1200,667,3
data\raw\Recyclable\glass_containers\ecor-lights-garden-planters-edging-organizing-DIY-apieceofrainbow-2-546x1024.jpg,recyclable,ecor-lights-garden-planters-edging-organizing-DIY-apieceofrainbow-2-546x1024.jpg,87.53,True,546,1024,3
data\raw\Hazardous\e-waste\electronic-waste-collection-center-subsequent-recycling-circular-economy_761147-84 - Copy.jpg,hazardous,electronic-waste-collection-center-subsequent-recycling-circular-economy_761147-84 - Copy.jpg,113.4,True,626,470,3
data\raw\Organic\coffee_tea_bags\png-transparent-instant-coffee-espresso-coffee-bag-tea-bag-coffee-food-tea-coffee.png,organic,png-transparent-instant-coffee-espresso-coffee-bag-tea-bag-coffee-food-tea-coffee.png,150.13,True,920,1185,3
data\raw\Non-Recyclable\ceramic_product\How-to-Dispose-of-Broken-Glass-Shards.png,non-recyclable,How-to-Dispose-of-Broken-Glass-Shards.png,188.17,True,800,400,3
data\raw\Non-Recyclable\ceramic_product\58314b65035fe8c7.jpeg,non-recyclable,58314b65035fe8c7.jpeg,822.8,True,1200,806,3
data\raw\Recyclable\cans_all_type\81dt8D3rCiL._AC_UF10001000_QL80_.jpg,recyclable,81dt8D3rCiL._AC_UF10001000_QL80_.jpg,105.51,True,1000,1000,3
data\raw\Organic\yard_trimmings\r0_0_5600_3733_w5600_h3733_fmax.jpg,organic,r0_0_5600_3733_w5600_h3733_fmax.jpg,3656.7,True,5600,3733,3
data\raw\Non-Recyclable\sanitary_napkin\8d032ff8-b08d-48cf-b3e2-8dc62c08c30a.jpg,non-recyclable,8d032ff8-b08d-48cf-b3e2-8dc62c08c30a.jpg,175.96,True,1024,683,3
data\raw\Non-Recyclable\stroform_product\stock-photo-different-types-of-food-box-made-of-foam-paper-plastic-564220360.jpg,non-recyclable,stock-photo-different-types-of-food-box-made-of-foam-paper-plastic-564220360.jpg,638.57,True,1500,1083,3
data\raw\Hazardous\e-waste\CFL - Copy.jpg,hazardous,CFL - Copy.jpg,167.49,True,400,400,3
data\raw\Recyclable\paper_products\waste-paper-recycling-concept-with-cardboard-newspapers-bag-realistic_1284-33137.jpg,recyclable,waste-paper-recycling-concept-with-cardboard-newspapers-bag-realistic_1284-33137.jpg,46.21,True,581,626,3
data\raw\Hazardous\paints\IMG_2666-scaled.jpeg,hazardous,IMG_2666-scaled.jpeg,675.15,True,1920,2560,3
data\raw\Hazardous\paints\productgrid_solvents_w900-1.jpg,hazardous,productgrid_solvents_w900-1.jpg,36.34,True,900,491,3
data\raw\Hazardous\pesticides\foods-09-01468-ag.png,hazardous,foods-09-01468-ag.png,374.29,True,1840,1019,3
data\raw\Organic\egg_shells\powder-ground-egg-shells-warm-water-used-as-calcium-supplement-popular-asia-india-119971114.jpg,organic,powder-ground-egg-shells-warm-water-used-as-calcium-supplement-popular-asia-india-119971114.jpg,49.94,True,800,534,3
data\raw\Hazardous\e-waste\LED-CLF-Incandescent-2 - Copy.jpg,hazardous,LED-CLF-Incandescent-2 - Copy.jpg,77.22,True,526,528,3
data\raw\Hazardous\e-waste\CFL-Broken-Bulb-scaled - Copy.jpeg,hazardous,CFL-Broken-Bulb-scaled - Copy.jpeg,172.07,True,2048,1366,3
data\raw\Recyclable\plastic_bottles\tanvi-sharma--4bD2p5.jpg,recyclable,tanvi-sharma--4bD2p5.jpg,484.35,True,1680,1260,3
data\raw\Hazardous\pesticides\nsecticides-fungicides-molluscicides-plant-protections-in-agriculture-vector.jpg,hazardous,nsecticides-fungicides-molluscicides-plant-protections-in-agriculture-vector.jpg,235.07,True,1920,1280,3
data\raw\Organic\egg_shells\1000_F_211028023_4K207bEPU7N2cJyvk92D4Ik0TKD93rzy.jpg,organic,1000_F_211028023_4K207bEPU7N2cJyvk92D4Ik0TKD93rzy.jpg,272.7,True,1000,667,3
data\raw\Hazardous\pesticides\herbicide-587589_960_720.jpg,hazardous,herbicide-587589_960_720.jpg,151.87,True,960,635,3
data\raw\Hazardous\paints\Cans-for-solvent-waste.jpg,hazardous,Cans-for-solvent-waste.jpg,393.73,True,640,480,3
data\raw\Hazardous\e-waste\640339-50P_PRO - Copy.jpg,hazardous,640339-50P_PRO - Copy.jpg,117.98,True,1720,1720,3
data\raw\Organic\kitchen_waste\PepsiCo-India-pilots-plant-based-packaging-to-address-plastic-waste.jpg,organic,PepsiCo-India-pilots-plant-based-packaging-to-address-plastic-waste.jpg,304.68,True,980,649,3
data\raw\Hazardous\e-waste\how-to-dispose-of-light-bulbs-section-4.jpg,hazardous,how-to-dispose-of-light-bulbs-section-4.jpg,150.21,True,1025,625,3
data\raw\Non-Recyclable\platics_bags_wrappers\arkets-for-kitchen-waste-household-plastic-waste-single-use-plastics-2E25P1B.jpg,non-recyclable,arkets-for-kitchen-waste-household-plastic-waste-single-use-plastics-2E25P1B.jpg,212.8,True,1300,956,3
data\raw\Hazardous\paints\Mixed_Brand_Solvents_Atmos_3.jpg,hazardous,Mixed_Brand_Solvents_Atmos_3.jpg,881.16,True,3875,2583,3
data\raw\Hazardous\paints\Hydrocarbon-Solvents-used-for-Solvent-Based-Paint-Formulation.png,hazardous,Hydrocarbon-Solvents-used-for-Solvent-Based-Paint-Formulation.png,33.17,True,850,155,3
data\raw\Non-Recyclable\diapers\Diapers4-01.png,non-recyclable,Diapers4-01.png,1805.16,True,1729,1080,3
data\raw\Recyclable\paper_products\w-newspaper-box-used-for-the-distribution-of-free-circulation-papers-7744258.jpg,recyclable,w-newspaper-box-used-for-the-distribution-of-free-circulation-papers-7744258.jpg,287.19,True,1001,1600,3
data\raw\Hazardous\paints\paint_storage.jpg,hazardous,paint_storage.jpg,6078.04,True,3684,2634,3
data\raw\Organic\yard_trimmings\Trimming-hedges-AdobeStock_70569449-600x399.jpg,organic,Trimming-hedges-AdobeStock_70569449-600x399.jpg,55.27,True,600,399,3
data\raw\Organic\coffee_tea_bags\coffee-and-tea-picture_csp1572201.jpg,organic,coffee-and-tea-picture_csp1572201.jpg,44.76,True,600,419,3
data\raw\Hazardous\e-waste\stock-vector-led-incandescent-and-energy-saving-light-bulbs-vector-illustration-1898745574.jpg,hazardous,stock-vector-led-incandescent-and-energy-saving-light-bulbs-vector-illustration-1898745574.jpg,550.65,True,1500,1150,3
data\raw\Non-Recyclable\diapers\pampers-disposable-baby-diapers-500x500.jpg,non-recyclable,pampers-disposable-baby-diapers-500x500.jpg,35.92,True,500,500,3
data\raw\Recyclable\cans_all_type\white-background-metal-waste-recycling-empty-crumpled-aluminum-can-120063176.jpg,recyclable,white-background-metal-waste-recycling-empty-crumpled-aluminum-can-120063176.jpg,63.08,True,1412,1690,3
data\raw\Organic\egg_shells\ways-to-reuse-eggshells-1614120054.jpg,organic,ways-to-reuse-eggshells-1614120054.jpg,214.39,True,2124,1411,3
data\raw\Organic\coffee_tea_bags\benefits-for-the-body.png,organic,benefits-for-the-body.png,205.1,True,830,1166,3
data\raw\Hazardous\e-waste\02bulb-web2-1454343899851-superJumbo.jpg,hazardous,02bulb-web2-1454343899851-superJumbo.jpg,158.42,True,1955,2048,3
data\raw\Recyclable\glass_containers\jar2.jpg,recyclable,jar2.jpg,47.29,True,500,500,3
data\raw\Organic\egg_shells\iStock_000003656044XSmall_egg-shells.jpg,organic,iStock_000003656044XSmall_egg-shells.jpg,67.72,True,433,277,3
data\raw\Non-Recyclable\diapers\634fc803be6fde50b04f6143-diapers-size-3-168-count-pampers.jpg,non-recyclable,634fc803be6fde50b04f6143-diapers-size-3-168-count-pampers.jpg,212.73,True,1496,1470,3
data\raw\Organic\egg_shells\idiom-walk-on-eggshells.png,organic,idiom-walk-on-eggshells.png,129.94,True,1000,1500,3
data\raw\Recyclable\cans_all_type\pouqoxmmx1.jpg,recyclable,pouqoxmmx1.jpg,110.0,True,1024,576,3
data\raw\Non-Recyclable\sanitary_napkin\vagina-vulva-1200x628-facebook-1200x628.jpg,non-recyclable,vagina-vulva-1200x628-facebook-1200x628.jpg,42.33,True,1200,628,3
data\raw\Hazardous\e-waste\Light-Bulb-Recycling - Copy.jpg,hazardous,Light-Bulb-Recycling - Copy.jpg,197.28,True,2022,1162,3
data\raw\Non-Recyclable\stroform_product\1-s2.0-S0959652618336230-fx1.jpg,non-recyclable,1-s2.0-S0959652618336230-fx1.jpg,54.38,True,400,200,3
data\raw\Non-Recyclable\stroform_product\open-styrofoam-boxes-stack-white-background-31184617.jpg,non-recyclable,open-styrofoam-boxes-stack-white-background-31184617.jpg,51.59,True,1600,1157,3
data\raw\Hazardous\paints\Imagen-Ecobiofor.jpg,hazardous,Imagen-Ecobiofor.jpg,117.55,True,1190,521,3
data\raw\Non-Recyclable\diapers\used-disposable-nappies-in-plastic-sacks-fill-a-household-waste-bin-B2EA0R.jpg,non-recyclable,used-disposable-nappies-in-plastic-sacks-fill-a-household-waste-bin-B2EA0R.jpg,131.49,True,1300,960,3
data\raw\Organic\food_scraps\b24fb5ba50e1c08c306afdb2ff49b1ac8a1ecd03.jpeg,organic,b24fb5ba50e1c08c306afdb2ff49b1ac8a1ecd03.jpeg,2937.92,True,3000,2000,3
data\raw\Recyclable\glass_containers\can-glass-be-recycled-683x1024.jpg,recyclable,can-glass-be-recycled-683x1024.jpg,63.04,True,683,1024,3
data\raw\Organic\coffee_tea_bags\TRYOURFLAVOURSslides_0_1badd587-e728-4880-af9d-0751df69b9f4_1500x.jpg,organic,TRYOURFLAVOURSslides_0_1badd587-e728-4880-af9d-0751df69b9f4_1500x.jpg,366.84,True,1500,2120,3
data\raw\Non-Recyclable\platics_bags_wrappers\plastic-bags-wraps-different-colors-blue-background-no-concept-high-quality-photo-245039624.jpg,non-recyclable,plastic-bags-wraps-different-colors-blue-background-no-concept-high-quality-photo-245039624.jpg,53.93,True,800,534,3
data\raw\Organic\egg_shells\eggshell9.png,organic,eggshell9.png,4468.49,True,2000,2000,3
data\raw\Recyclable\paper_products\bigstock-Recyclable-Materials-A-Select-364185454-1-825x510.jpg,recyclable,bigstock-Recyclable-Materials-A-Select-364185454-1-825x510.jpg,57.83,True,825,510,3
data\raw\Recyclable\glass_containers\Screenshot2023-01-22at4.00.14PM.png,recyclable,Screenshot2023-01-22at4.00.14PM.png,190.09,True,1000,1080,3
data\raw\Hazardous\paints\ts-used-for-paint-painting-and-finishing-isolated-on-natural-white-411279802.jpg,hazardous,ts-used-for-paint-painting-and-finishing-isolated-on-natural-white-411279802.jpg,276.45,True,1001,1600,3
data\raw\Non-Recyclable\stroform_product\Packaging_waste_v4.png,non-recyclable,Packaging_waste_v4.png,336.63,True,1772,1289,3
data\raw\Hazardous\pesticides\AgBusPesticideCollection.jpg,hazardous,AgBusPesticideCollection.jpg,106.72,True,335,254,3
data\raw\Non-Recyclable\sanitary_napkin\3-Figure1-1.png,non-recyclable,3-Figure1-1.png,792.22,True,1276,908,3
data\raw\Hazardous\e-waste\outlined-compact-fluorescent-light-bulbs-stock-illustrations_csp49558453 - Copy.jpg,hazardous,outlined-compact-fluorescent-light-bulbs-stock-illustrations_csp49558453 - Copy.jpg,40.18,True,384,519,3
data\raw\Non-Recyclable\ceramic_product\9.jpg,non-recyclable,9.jpg,126.2,True,575,800,3
data\raw\Non-Recyclable\stroform_product\819KB-FEqfL._AC_UF10001000_QL80_.jpg,non-recyclable,819KB-FEqfL._AC_UF10001000_QL80_.jpg,174.62,True,1000,1000,3
data\raw\Hazardous\e-waste\shutterstock_101806765-Bulbs - Copy.jpg,hazardous,shutterstock_101806765-Bulbs - Copy.jpg,94.35,True,1200,1200,3
data\raw\Hazardous\e-waste\Energiesparlampe_01_retouched - Copy.jpg,hazardous,Energiesparlampe_01_retouched - Copy.jpg,1063.92,True,3745,2667,3
data\raw\Recyclable\cans_all_type\canned-food-961779-1.jpg,recyclable,canned-food-961779-1.jpg,94.93,True,1050,700,3
data\raw\Recyclable\glass_containers\soogo-clear-glass-cube-jar-1-l-set-of-2-product-images-o493624711-p599004984-1-202303030341.jpg,recyclable,soogo-clear-glass-cube-jar-1-l-set-of-2-product-images-o493624711-p599004984-1-202303030341.jpg,49.25,True,1000,1000,3
data\raw\Non-Recyclable\stroform_product\garbage-1260833_1280.jpg,non-recyclable,garbage-1260833_1280.jpg,500.51,True,1280,960,3
data\raw\Organic\coffee_tea_bags\ee38ee68adac618a6aa7dd4be54ce525.jpg,organic,ee38ee68adac618a6aa7dd4be54ce525.jpg,37.64,True,570,760,3
data\raw\Recyclable\glass_containers\81ua-8FccoL._SL1500_.jpg,recyclable,81ua-8FccoL._SL1500_.jpg,156.34,True,1467,1500,3
data\raw\Hazardous\e-waste\85a44d0f-d9a2-37b6-93c1-1c21fed330cf.png,hazardous,85a44d0f-d9a2-37b6-93c1-1c21fed330cf.png,289.62,True,700,989,3
data\raw\Non-Recyclable\platics_bags_wrappers\plastic-wrappers-and-other-garbage-discarded-down-bank-JXJC8A.jpg,non-recyclable,plastic-wrappers-and-other-garbage-discarded-down-bank-JXJC8A.jpg,362.36,True,1300,956,3
data\raw\Recyclable\glass_containers\61APfOjOwNL.jpg,recyclable,61APfOjOwNL.jpg,81.76,True,1500,1500,3
data\raw\Hazardous\e-waste\04801E3UVtxDTDY9ek1ovu0-3..v1618408208 - Copy.jpg,hazardous,04801E3UVtxDTDY9ek1ovu0-3..v1618408208 - Copy.jpg,280.22,True,1920,1319,3
data\raw\Non-Recyclable\platics_bags_wrappers\infographic-v2.png,non-recyclable,infographic-v2.png,345.29,True,2000,2000,3
data\raw\Organic\kitchen_waste\jovitaaranha_bluru_cooking_gas_from_waste.jpg,organic,jovitaaranha_bluru_cooking_gas_from_waste.jpg,218.67,True,1152,864,3
